id,ppq,siae,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file
MPI-ESM-P-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MPI-ESM-P-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc
MRI-CGCM3-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc
MRI-CGCM3-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc
MRI-CGCM3-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc
MRI-CGCM3-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc
MRI-CGCM3-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc
